created,text,retwc,hashtag,followers,friends
2017-12-06 14:44:35,b'@darshanvmehta1 @BJP4India Neither GST nor Demonetisation affected to people to change thr Mind#wordofmouth',0,None,82,145
2017-12-06 14:44:34,b'RT @NewsNationTV: #NewsNationGroundZeroPollSurvey 4% people will give their votes on the basis of Demonetisation \n@pshunglu',3,NewsNationGroundZeroPollSurvey,1906,2526
2017-12-06 14:44:21,b'#NewsNationGroundZeroPollSurvey 4% people will give their votes on the basis of Demonetisation \n@pshunglu',3,NewsNationGroundZeroPollSurvey,74945,360
2017-12-06 14:44:18,b'RT @rkbnow: As if demonetisation was not enough!\nNow we could LOSE all our hard earned money deposited in banks. \nThis new Nightmarish Law\xe2\x80\xa6',29,None,145,201
2017-12-06 14:44:06,"b'RT @INCIndia: After the self-inflicted wounds of #demonetisation and #GabbarSinghTax, @FitchRatings confirm that the marginal recovery of t\xe2\x80\xa6'",301,demonetisation,281,74
2017-12-06 14:44:04,"b'RT @GauravPandhi: All said &amp; done, what affects the Hindus &amp; the Muslims &amp; everyone more than anything is \xe2\x80\x94\n\nUnemployment\nPrice Rise\nGST\nDe\xe2\x80\xa6'",212,None,607,424
2017-12-06 14:43:30,"b'RT @INCIndia: After the self-inflicted wounds of #demonetisation and #GabbarSinghTax, @FitchRatings confirm that the marginal recovery of t\xe2\x80\xa6'",301,demonetisation,250,1052
2017-12-06 14:42:06,b'RT @Haaris95: @OfficeOfRG When vikas fails\nWhen casteism fails\nWhen soldier fails\nWhen cow fails\nWhen demonetisation fails\nWhen GST fails\nW\xe2\x80\xa6',17,None,47,167
2017-12-06 14:41:45,"b'RT @INCIndia: After the self-inflicted wounds of #demonetisation and #GabbarSinghTax, @FitchRatings confirm that the marginal recovery of t\xe2\x80\xa6'",301,demonetisation,115,41
2017-12-06 14:41:07,"b'RT @INCIndia: After the self-inflicted wounds of #demonetisation and #GabbarSinghTax, @FitchRatings confirm that the marginal recovery of t\xe2\x80\xa6'",301,demonetisation,607,364
